yourlist:M201501042EL1V9A9QJ,Entry,Entry name,Status,Protein names,Gene names,Organism,Length
NP_071735,Q9H1K0,RBNS5_HUMAN,reviewed,Rabenosyn-5 (110 kDa protein) (FYVE finger-containing Rab5 effector protein rabenosyn-5) (Zinc finger FYVE domain-containing protein 20),ZFYVE20,Homo sapiens (Human),784
NP_919226,Q7Z570,Z804A_HUMAN,reviewed,Zinc finger protein 804A,ZNF804A C2orf10,Homo sapiens (Human),1209
NP_003740,Q9P084,Q9P084_HUMAN,unreviewed,HSPC298 (Fragment),,Homo sapiens (Human),148
NP_003740,Q9Y4H2,IRS2_HUMAN,reviewed,Insulin receptor substrate 2 (IRS-2),IRS2,Homo sapiens (Human),1338
NP_001081,Q2L6I2,Q2L6I2_HUMAN,unreviewed,"ABC50 protein (ATP-binding cassette, sub-family F (GCN20), member 1) (ATP-binding cassette, sub-family F (GCN20), member 1, isoform CRA_a)",ABCF1 ABC50 hCG_26012,Homo sapiens (Human),807
NP_004450,Q12830,BPTF_HUMAN,reviewed,Nucleosome-remodeling factor subunit BPTF (Bromodomain and PHD finger-containing transcription factor) (Fetal Alz-50 clone 1 protein) (Fetal Alzheimer antigen),BPTF FAC1 FALZ,Homo sapiens (Human),3046
NP_056531,Q8N4C8,MINK1_HUMAN,reviewed,Misshapen-like kinase 1 (EC 2.7.11.1) (GCK family kinase MiNK) (MAPK/ERK kinase kinase kinase 6) (MEK kinase kinase 6) (MEKKK 6) (Misshapen/NIK-related kinase) (Mitogen-activated protein kinase kinase kinase kinase 6),MINK1 B55 MAP4K6 MINK YSK2 ZC3,Homo sapiens (Human),1332
NP_001830,Q15417,CNN3_HUMAN,reviewed,"Calponin-3 (Calponin, acidic isoform)",CNN3,Homo sapiens (Human),329
NP_004983,D3YJ43,D3YJ43_HUMAN,unreviewed,"Methyl CpG binding protein 2 (Methyl CpG binding protein 2 (Rett syndrome), isoform CRA_a) (Mutant methyl CpG binding protein 2 transcript 1)",MECP2 hCG_37678,Homo sapiens (Human),486
NP_004983,P51608,MECP2_HUMAN,reviewed,Methyl-CpG-binding protein 2 (MeCp-2 protein) (MeCp2),MECP2,Homo sapiens (Human),486
NP_004983,Q59FJ6,Q59FJ6_HUMAN,unreviewed,Methyl CpG binding protein 2 variant (Fragment),,Homo sapiens (Human),130
NP_115731,Q86VX9,MON1A_HUMAN,reviewed,Vacuolar fusion protein MON1 homolog A,MON1A SAND1,Homo sapiens (Human),555
NP_115731,X6R3V9,X6R3V9_HUMAN,unreviewed,"MON1 homolog A (Yeast), isoform CRA_b (Vacuolar fusion protein MON1 homolog A)",MON1A hCG_96185,Homo sapiens (Human),652
NP_689876,Q86X27,RGPS2_HUMAN,reviewed,Ras-specific guanine nucleotide-releasing factor RalGPS2 (Ral GEF with PH domain and SH3-binding motif 2) (RalA exchange factor RalGPS2),RALGPS2,Homo sapiens (Human),583
NP_002929,P78317,RNF4_HUMAN,reviewed,E3 ubiquitin-protein ligase RNF4 (EC 6.3.2.-) (RING finger protein 4) (Small nuclear ring finger protein) (Protein SNURF),RNF4 SNURF RES4-26,Homo sapiens (Human),190
NP_002962,Q01826,SATB1_HUMAN,reviewed,DNA-binding protein SATB1 (Special AT-rich sequence-binding protein 1),SATB1,Homo sapiens (Human),763
NP_055816,Q96T58,MINT_HUMAN,reviewed,Msx2-interacting protein (SMART/HDAC1-associated repressor protein) (SPEN homolog),SPEN KIAA0929 MINT SHARP,Homo sapiens (Human),3664
NP_005110,Q9Y2W1,TR150_HUMAN,reviewed,Thyroid hormone receptor-associated protein 3 (Thyroid hormone receptor-associated protein complex 150 kDa component) (Trap150),THRAP3 TRAP150,Homo sapiens (Human),955
NP_005490,Q9UBT2,SAE2_HUMAN,reviewed,SUMO-activating enzyme subunit 2 (EC 6.3.2.-) (Anthracycline-associated resistance ARX) (Ubiquitin-like 1-activating enzyme E1B) (Ubiquitin-like modifier-activating enzyme 2),UBA2 SAE2 UBLE1B HRIHFB2115,Homo sapiens (Human),640
NP_006288,B2RCY5,B2RCY5_HUMAN,unreviewed,"cDNA, FLJ96373, highly similar to Homo sapiens X-ray repair complementing defective repair in Chinese hamster cells 1 (XRCC1), mRNA",,Homo sapiens (Human),633
NP_006288,P18887,XRCC1_HUMAN,reviewed,DNA repair protein XRCC1 (X-ray repair cross-complementing protein 1),XRCC1,Homo sapiens (Human),633
NP_006288,Q59HH7,Q59HH7_HUMAN,unreviewed,X-ray repair cross complementing protein 1 variant (Fragment),,Homo sapiens (Human),647
NP_001284,P54105,ICLN_HUMAN,reviewed,"Methylosome subunit pICln (Chloride channel, nucleotide sensitive 1A) (Chloride conductance regulatory protein ICln) (I(Cln)) (Chloride ion current inducer protein) (ClCI) (Reticulocyte pICln)",CLNS1A CLCI ICLN,Homo sapiens (Human),237
NP_005266,B4DYK6,B4DYK6_HUMAN,unreviewed,"cDNA FLJ56887, highly similar to Homo sapiens guanine nucleotide binding protein-like 1 (GNL1), mRNA",,Homo sapiens (Human),605
NP_005266,P36915,GNL1_HUMAN,reviewed,Guanine nucleotide-binding protein-like 1 (GTP-binding protein HSR1),GNL1 HSR1,Homo sapiens (Human),607
NP_003253,Q99442,SEC62_HUMAN,reviewed,Translocation protein SEC62 (Translocation protein 1) (TP-1) (hTP-1),SEC62 TLOC1,Homo sapiens (Human),399
NP_001017963,P07900,HS90A_HUMAN,reviewed,Heat shock protein HSP 90-alpha (Heat shock 86 kDa) (HSP 86) (HSP86) (Lipopolysaccharide-associated protein 2) (LAP-2) (LPS-associated protein 2) (Renal carcinoma antigen NY-REN-38),HSP90AA1 HSP90A HSPC1 HSPCA,Homo sapiens (Human),732
NP_001017963,Q86SX1,Q86SX1_HUMAN,unreviewed,Full-length cDNA 5-PRIME end of clone CS0DN005YI08 of Adult brain of Homo sapiens (human) (Fragment),,Homo sapiens (Human),262
NP_055662,Q14157,UBP2L_HUMAN,reviewed,Ubiquitin-associated protein 2-like (Protein NICE-4),UBAP2L KIAA0144 NICE4,Homo sapiens (Human),1087
NP_057427,P49454,CENPF_HUMAN,reviewed,Centromere protein F (CENP-F) (AH antigen) (Kinetochore protein CENPF) (Mitosin),CENPF,Homo sapiens (Human),3210
NP_004636,P38432,COIL_HUMAN,reviewed,Coilin (p80-coilin),COIL CLN80,Homo sapiens (Human),576
NP_004706,Q9Y5B0,CTDP1_HUMAN,reviewed,RNA polymerase II subunit A C-terminal domain phosphatase (EC 3.1.3.16) (TFIIF-associating CTD phosphatase),CTDP1 FCP1,Homo sapiens (Human),961
NP_683723,O95208,EPN2_HUMAN,reviewed,Epsin-2 (EPS-15-interacting protein 2),EPN2 KIAA1065,Homo sapiens (Human),641
NP_001518,Q92769,HDAC2_HUMAN,reviewed,Histone deacetylase 2 (HD2) (EC 3.5.1.98),HDAC2,Homo sapiens (Human),488
NP_002129,Q14103,HNRPD_HUMAN,reviewed,Heterogeneous nuclear ribonucleoprotein D0 (hnRNP D0) (AU-rich element RNA-binding protein 1),HNRNPD AUF1 HNRPD,Homo sapiens (Human),355
NP_064551,Q96RQ3,MCCA_HUMAN,reviewed,"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial (MCCase subunit alpha) (EC 6.4.1.4) (3-methylcrotonyl-CoA carboxylase 1) (3-methylcrotonyl-CoA carboxylase biotin-containing subunit) (3-methylcrotonyl-CoA:carbon dioxide ligase subunit alpha)",MCCC1 MCCA,Homo sapiens (Human),725
NP_789845,Q9H2U2,IPYR2_HUMAN,reviewed,"Inorganic pyrophosphatase 2, mitochondrial (EC 3.6.1.1) (Pyrophosphatase SID6-306) (Pyrophosphate phospho-hydrolase 2) (PPase 2)",PPA2 HSPC124,Homo sapiens (Human),334
NP_624311,Q8WUA2,PPIL4_HUMAN,reviewed,Peptidyl-prolyl cis-trans isomerase-like 4 (PPIase) (EC 5.2.1.8) (Cyclophilin-like protein PPIL4) (Rotamase PPIL4),PPIL4,Homo sapiens (Human),492
NP_006742,P28290,SSFA2_HUMAN,reviewed,Sperm-specific antigen 2 (Cleavage signal-1 protein) (CS-1) (Ki-ras-induced actin-interacting protein),SSFA2 CS1 KIAA1927 KRAP,Homo sapiens (Human),1259
NP_003160,O00267,SPT5H_HUMAN,reviewed,Transcription elongation factor SPT5 (hSPT5) (DRB sensitivity-inducing factor 160 kDa subunit) (DSIF p160) (DRB sensitivity-inducing factor large subunit) (DSIF large subunit) (Tat-cotransactivator 1 protein) (Tat-CT1 protein),SUPT5H SPT5 SPT5H,Homo sapiens (Human),1087
NP_057374,Q96RL1,UIMC1_HUMAN,reviewed,BRCA1-A complex subunit RAP80 (Receptor-associated protein 80) (Retinoid X receptor-interacting protein 110) (Ubiquitin interaction motif-containing protein 1),UIMC1 RAP80 RXRIP110,Homo sapiens (Human),719
NP_689813,Q8NAF0,ZN579_HUMAN,reviewed,Zinc finger protein 579,ZNF579,Homo sapiens (Human),562
NP_056345,Q9H8Y8,GORS2_HUMAN,reviewed,Golgi reassembly-stacking protein 2 (GRS2) (Golgi phosphoprotein 6) (GOLPH6) (Golgi reassembly-stacking protein of 55 kDa) (GRASP55) (p59),GORASP2 GOLPH6,Homo sapiens (Human),452
NP_665804,Q96A47,ISL2_HUMAN,reviewed,Insulin gene enhancer protein ISL-2 (Islet-2),ISL2,Homo sapiens (Human),359
NP_115811,Q5TCX8,M3KL4_HUMAN,reviewed,Mitogen-activated protein kinase kinase kinase MLK4 (EC 2.7.11.25) (Mixed lineage kinase 4),MLK4 KIAA1804,Homo sapiens (Human),1036
NP_075385,P49006,MRP_HUMAN,reviewed,MARCKS-related protein (MARCKS-like protein 1) (Macrophage myristoylated alanine-rich C kinase substrate) (Mac-MARCKS) (MacMARCKS),MARCKSL1 MLP MRP,Homo sapiens (Human),195
NP_003289,F2YGU2,F2YGU2_HUMAN,unreviewed,"Nuclear receptor subfamily 2, group C, member 2, isoform CRA_a (Testicular nuclear receptor 4)",NR2C2 hCG_27821,Homo sapiens (Human),615
NP_003289,P49116,NR2C2_HUMAN,reviewed,Nuclear receptor subfamily 2 group C member 2 (Orphan nuclear receptor TAK1) (Orphan nuclear receptor TR4) (Testicular receptor 4),NR2C2 TAK1 TR4,Homo sapiens (Human),596
NP_000923,Q01970,PLCB3_HUMAN,reviewed,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3 (EC 3.1.4.11) (Phosphoinositide phospholipase C-beta-3) (Phospholipase C-beta-3) (PLC-beta-3)",PLCB3,Homo sapiens (Human),1234
NP_976324,Q8IXT5,RB12B_HUMAN,reviewed,RNA-binding protein 12B (RNA-binding motif protein 12B),RBM12B,Homo sapiens (Human),1001
NP_006025,O14683,P5I11_HUMAN,reviewed,Tumor protein p53-inducible protein 11 (p53-induced gene 11 protein),TP53I11 PIG11,Homo sapiens (Human),189
NP_892029,Q8IZ69,TRM2A_HUMAN,reviewed,tRNA (uracil-5-)-methyltransferase homolog A (EC 2.1.1.-) (HpaII tiny fragments locus 9c protein),TRMT2A HTF9C,Homo sapiens (Human),625
NP_060589,Q9NVU0,RPC5_HUMAN,reviewed,DNA-directed RNA polymerase III subunit RPC5 (RNA polymerase III subunit C5) (DNA-directed RNA polymerase III 80 kDa polypeptide),POLR3E KIAA1452,Homo sapiens (Human),708
NP_001737,P27824,CALX_HUMAN,reviewed,Calnexin (IP90) (Major histocompatibility complex class I antigen-binding protein p88) (p90),CANX,Homo sapiens (Human),592
NP_001264,Q14839,CHD4_HUMAN,reviewed,Chromodomain-helicase-DNA-binding protein 4 (CHD-4) (EC 3.6.4.12) (ATP-dependent helicase CHD4) (Mi-2 autoantigen 218 kDa protein) (Mi2-beta),CHD4,Homo sapiens (Human),1912
NP_004757,P35606,COPB2_HUMAN,reviewed,Coatomer subunit beta' (Beta'-coat protein) (Beta'-COP) (p102),COPB2,Homo sapiens (Human),906
NP_001008844,P15924,DESP_HUMAN,reviewed,Desmoplakin (DP) (250/210 kDa paraneoplastic pemphigus antigen),DSP,Homo sapiens (Human),2871
NP_002379,P25205,MCM3_HUMAN,reviewed,DNA replication licensing factor MCM3 (EC 3.6.4.12) (DNA polymerase alpha holoenzyme-associated protein P1) (P1-MCM3) (RLF subunit beta) (p102),MCM3,Homo sapiens (Human),808
NP_079508,Q9H6H4,REEP4_HUMAN,reviewed,Receptor expression-enhancing protein 4,REEP4 C8orf20 PP432,Homo sapiens (Human),257
NP_115571,P18583,SON_HUMAN,reviewed,Protein SON (Bax antagonist selected in saccharomyces 1) (BASS1) (Negative regulatory element-binding protein) (NRE-binding protein) (Protein DBP-5) (SON3),SON C21orf50 DBP5 KIAA1019 NREBP HSPC310 HSPC312,Homo sapiens (Human),2426
NP_689759,Q8NEF9,SRFB1_HUMAN,reviewed,Serum response factor-binding protein 1 (SRF-dependent transcription regulation-associated protein) (p49/STRAP),SRFBP1,Homo sapiens (Human),429
NP_003214,Q01664,TFAP4_HUMAN,reviewed,Transcription factor AP-4 (Activating enhancer-binding protein 4) (Class C basic helix-loop-helix protein 41) (bHLHc41),TFAP4 BHLHC41,Homo sapiens (Human),338
NP_001007226,Q9Y6M1,IF2B2_HUMAN,reviewed,Insulin-like growth factor 2 mRNA-binding protein 2 (IGF2 mRNA-binding protein 2) (IMP-2) (Hepatocellular carcinoma autoantigen p62) (IGF-II mRNA-binding protein 2) (VICKZ family member 2),IGF2BP2 IMP2 VICKZ2,Homo sapiens (Human),599
NP_057951,Q53GL6,Q53GL6_HUMAN,unreviewed,"RNA binding protein (Autoantigenic, hnRNP-associated with lethal yellow) long isoform variant (RNA binding protein, autoantigenic (HnRNP-associated with lethal yellow homolog (Mouse))) (RNA binding protein, autoantigenic (HnRNP-associated with lethal yellow homolog (Mouse)), isoform CRA_a) (cDNA FLJ77422, highly similar to Homo sapiens RNA binding protein, autoantigenic (hnRNP-associated with lethal yellow homolog (mouse)), transcript variant 1, mRNA) (Fragment)",RALY hCG_37136,Homo sapiens (Human),307
NP_057951,Q9UKM9,RALY_HUMAN,reviewed,RNA-binding protein Raly (Autoantigen p542) (Heterogeneous nuclear ribonucleoprotein C-like 2) (hnRNP core protein C-like 2) (hnRNP associated with lethal yellow protein homolog),RALY HNRPCL2 P542,Homo sapiens (Human),306
NP_055475,B4DG57,B4DG57_HUMAN,unreviewed,"cDNA FLJ61230, highly similar to PHD finger protein 14",,Homo sapiens (Human),603
NP_055475,O94880,PHF14_HUMAN,reviewed,PHD finger protein 14,PHF14 KIAA0783,Homo sapiens (Human),888
NP_008998,O95251,KAT7_HUMAN,reviewed,"Histone acetyltransferase KAT7 (EC 2.3.1.48) (Histone acetyltransferase binding to ORC1) (Lysine acetyltransferase 7) (MOZ, YBF2/SAS3, SAS2 and TIP60 protein 2) (MYST-2)",KAT7 HBO1 HBOa MYST2,Homo sapiens (Human),611
NP_056467,Q8N655,CJ012_HUMAN,reviewed,Uncharacterized protein C10orf12,C10orf12,Homo sapiens (Human),1247
NP_065821,Q9P2M7,CING_HUMAN,reviewed,Cingulin,CGN KIAA1319,Homo sapiens (Human),1197
NP_001341,Q9UER7,DAXX_HUMAN,reviewed,Death domain-associated protein 6 (Daxx) (hDaxx) (ETS1-associated protein 1) (EAP1) (Fas death domain-associated protein),DAXX BING2 DAP6,Homo sapiens (Human),740
NP_009135,Q9H4N4,Q9H4N4_HUMAN,unreviewed,Homo sapiens clone CDABP0082 mRNA sequence,,Homo sapiens (Human),106
NP_009135,Q9UHI6,DDX20_HUMAN,reviewed,Probable ATP-dependent RNA helicase DDX20 (EC 3.6.4.13) (Component of gems 3) (DEAD box protein 20) (DEAD box protein DP 103) (Gemin-3),DDX20 DP103 GEMIN3,Homo sapiens (Human),824
NP_031398,Q86XP3,DDX42_HUMAN,reviewed,ATP-dependent RNA helicase DDX42 (EC 3.6.4.13) (DEAD box protein 42) (RNA helicase-like protein) (RHELP) (RNA helicase-related protein) (RNAHP) (SF3b DEAD box protein) (Splicing factor 3B-associated 125 kDa protein) (SF3b125),DDX42,Homo sapiens (Human),938
NP_065750,Q8WXI9,P66B_HUMAN,reviewed,Transcriptional repressor p66-beta (GATA zinc finger domain-containing protein 2B) (p66/p68),GATAD2B KIAA1150,Homo sapiens (Human),593
NP_004658,A8KAQ8,A8KAQ8_HUMAN,unreviewed,HERC2 protein (Fragment),HERC2,Homo sapiens (Human),703
NP_004658,O95714,HERC2_HUMAN,reviewed,E3 ubiquitin-protein ligase HERC2 (EC 6.3.2.-) (HECT domain and RCC1-like domain-containing protein 2),HERC2,Homo sapiens (Human),4834
NP_006550,Q07666,KHDR1_HUMAN,reviewed,"KH domain-containing, RNA-binding, signal transduction-associated protein 1 (GAP-associated tyrosine phosphoprotein p62) (Src-associated in mitosis 68 kDa protein) (Sam68) (p21 Ras GTPase-activating protein-associated p62) (p68)",KHDRBS1 SAM68,Homo sapiens (Human),443
NP_055670,O43299,AP5Z1_HUMAN,reviewed,AP-5 complex subunit zeta-1 (Adaptor-related protein complex 5 zeta subunit) (Zeta5),AP5Z1 KIAA0415 SPG48,Homo sapiens (Human),807
NP_115898,Q9BXY0,MAK16_HUMAN,reviewed,Protein MAK16 homolog (NNP78) (Protein RBM13),MAK16 RBM13,Homo sapiens (Human),300
NP_071741,Q9BPX3,CND3_HUMAN,reviewed,Condensin complex subunit 3 (Chromosome-associated protein G) (Condensin subunit CAP-G) (hCAP-G) (Melanoma antigen NY-MEL-3) (Non-SMC condensin I complex subunit G) (XCAP-G homolog),NCAPG CAPG NYMEL3,Homo sapiens (Human),1015
NP_006591,Q9Y266,NUDC_HUMAN,reviewed,Nuclear migration protein nudC (Nuclear distribution protein C homolog),NUDC,Homo sapiens (Human),331
NP_002666,P29590,PML_HUMAN,reviewed,Protein PML (Promyelocytic leukemia protein) (RING finger protein 71) (Tripartite motif-containing protein 19),PML MYL PP8675 RNF71 TRIM19,Homo sapiens (Human),882
NP_004893,Q14498,RBM39_HUMAN,reviewed,RNA-binding protein 39 (CAPER alpha) (Hepatocellular carcinoma protein 1) (RNA-binding motif protein 39) (RNA-binding region-containing protein 2) (Splicing factor HCC1),RBM39 HCC1 RNPC2,Homo sapiens (Human),530
NP_001058,P11388,TOP2A_HUMAN,reviewed,"DNA topoisomerase 2-alpha (EC 5.99.1.3) (DNA topoisomerase II, alpha isozyme)",TOP2A TOP2,Homo sapiens (Human),1531
NP_002964,Q99700,ATX2_HUMAN,reviewed,Ataxin-2 (Spinocerebellar ataxia type 2 protein) (Trinucleotide repeat-containing gene 13 protein),ATXN2 ATX2 SCA2 TNRC13,Homo sapiens (Human),1313
NP_004184,Q92538,GBF1_HUMAN,reviewed,Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1 (BFA-resistant GEF 1),GBF1 KIAA0248,Homo sapiens (Human),1859
NP_057424,Q8TEU7,RPGF6_HUMAN,reviewed,Rap guanine nucleotide exchange factor 6 (PDZ domain-containing guanine nucleotide exchange factor 2) (PDZ-GEF2) (RA-GEF-2),RAPGEF6 PDZGEF2,Homo sapiens (Human),1601
NP_036565,O75533,SF3B1_HUMAN,reviewed,Splicing factor 3B subunit 1 (Pre-mRNA-splicing factor SF3b 155 kDa subunit) (SF3b155) (Spliceosome-associated protein 155) (SAP 155),SF3B1 SAP155,Homo sapiens (Human),1304
NP_036565,Q7Z497,Q7Z497_HUMAN,unreviewed,SF3B1 protein (Fragment),SF3B1,Homo sapiens (Human),789
NP_006416,O95391,SLU7_HUMAN,reviewed,Pre-mRNA-splicing factor SLU7 (hSlu7),SLU7,Homo sapiens (Human),586
NP_112604,P07910,HNRPC_HUMAN,reviewed,Heterogeneous nuclear ribonucleoproteins C1/C2 (hnRNP C1/C2),HNRNPC HNRPC,Homo sapiens (Human),306
NP_127493,X5DNP5,X5DNP5_HUMAN,unreviewed,General transcription factor IIi isoform B (Fragment),GTF2I,Homo sapiens (Human),978
NP_003619,Q99569,PKP4_HUMAN,reviewed,Plakophilin-4 (p0071),PKP4,Homo sapiens (Human),1192
NP_073605,Q96T37,RBM15_HUMAN,reviewed,Putative RNA-binding protein 15 (One-twenty two protein 1) (RNA-binding motif protein 15),RBM15 OTT OTT1,Homo sapiens (Human),977
NP_061866,A1A4T0,A1A4T0_HUMAN,unreviewed,RIN2 protein,RIN2,Homo sapiens (Human),462
NP_061866,Q8WYP3,RIN2_HUMAN,reviewed,Ras and Rab interactor 2 (Ras association domain family 4) (Ras inhibitor JC265) (Ras interaction/interference protein 2),RIN2 RASSF4,Homo sapiens (Human),895
NP_060597,Q9BQ52,RNZ2_HUMAN,reviewed,Zinc phosphodiesterase ELAC protein 2 (EC 3.1.26.11) (ElaC homolog protein 2) (Heredity prostate cancer protein 2) (Ribonuclease Z 2) (RNase Z 2) (tRNA 3 endonuclease 2) (tRNase Z 2),ELAC2 HPC2,Homo sapiens (Human),826
NP_001229,P24864,CCNE1_HUMAN,reviewed,G1/S-specific cyclin-E1,CCNE1 CCNE,Homo sapiens (Human),410
NP_060362,O75400,PR40A_HUMAN,reviewed,Pre-mRNA-processing factor 40 homolog A (Fas ligand-associated factor 1) (Formin-binding protein 11) (Formin-binding protein 3) (Huntingtin yeast partner A) (Huntingtin-interacting protein 10) (HIP-10) (Huntingtin-interacting protein A) (Renal carcinoma antigen NY-REN-6),PRPF40A FBP11 FLAF1 FNBP3 HIP10 HYPA HSPC225,Homo sapiens (Human),957
NP_060362,Q05C41,Q05C41_HUMAN,unreviewed,PRPF40A protein (Fragment),PRPF40A,Homo sapiens (Human),414
NP_061173,Q7Z6E9,RBBP6_HUMAN,reviewed,E3 ubiquitin-protein ligase RBBP6 (EC 6.3.2.-) (Proliferation potential-related protein) (Protein P2P-R) (Retinoblastoma-binding Q protein 1) (RBQ-1) (Retinoblastoma-binding protein 6) (p53-associated cellular protein of testis),RBBP6 P2PR PACT RBQ1 My038,Homo sapiens (Human),1792
NP_055302,Q53EN0,Q53EN0_HUMAN,unreviewed,Zinc finger protein 330 variant (Fragment),,Homo sapiens (Human),320
NP_055302,Q9Y3S2,ZN330_HUMAN,reviewed,Zinc finger protein 330 (Nucleolar autoantigen 36) (Nucleolar cysteine-rich protein),ZNF330 NOA36,Homo sapiens (Human),320
NP_001002243,Q6ULP2,AFTIN_HUMAN,reviewed,Aftiphilin,AFTPH AFTH,Homo sapiens (Human),937
NP_006014,O75794,CD123_HUMAN,reviewed,Cell division cycle protein 123 homolog (Protein D123) (HT-1080) (PZ32),CDC123 C10orf7 D123,Homo sapiens (Human),336
NP_543010,Q8TEA8,DTD1_HUMAN,reviewed,D-tyrosyl-tRNA(Tyr) deacylase 1 (EC 3.1.-.-) (DNA-unwinding element-binding protein B) (DUE-B) (Histidyl-tRNA synthase-related),DTD1 C20orf88 DUEB HARS2,Homo sapiens (Human),209
NP_006017,Q92522,H1X_HUMAN,reviewed,Histone H1x,H1FX,Homo sapiens (Human),213
NP_001011713,B3KS28,B3KS28_HUMAN,unreviewed,"cDNA FLJ35355 fis, clone PUAEN2000152, moderately similar to N-terminal acetyltransferase C complexcatalytic subunit MAK3 (EC 2.3.1.88)",,Homo sapiens (Human),362
NP_001011713,Q147X3,NAA30_HUMAN,reviewed,N-alpha-acetyltransferase 30 (EC 2.3.1.88) (N-acetyltransferase 12) (N-acetyltransferase MAK3 homolog) (NatC catalytic subunit),NAA30 C14orf35 MAK3 NAT12,Homo sapiens (Human),362
NP_000012,P49768,PSN1_HUMAN,reviewed,Presenilin-1 (PS-1) (EC 3.4.23.-) (Protein S182) [Cleaved into: Presenilin-1 NTF subunit; Presenilin-1 CTF subunit; Presenilin-1 CTF12 (PS1-CTF12)],PSEN1 AD3 PS1 PSNL1,Homo sapiens (Human),467
NP_150093,Q96QR8,PURB_HUMAN,reviewed,Transcriptional activator protein Pur-beta (Purine-rich element-binding protein B),PURB,Homo sapiens (Human),312
NP_003119,B2ZZ89,B2ZZ89_HUMAN,unreviewed,"Epididymis luminal protein 102 (Spectrin beta non-erythrocytic 1) (Spectrin, beta, non-erythrocytic 1, isoform CRA_d)",SPTBN1 HEL102 hCG_17370,Homo sapiens (Human),2364
NP_003119,Q01082,SPTB2_HUMAN,reviewed,"Spectrin beta chain, non-erythrocytic 1 (Beta-II spectrin) (Fodrin beta chain) (Spectrin, non-erythroid beta chain 1)",SPTBN1 SPTB2,Homo sapiens (Human),2364
NP_004897,Q15007,FL2D_HUMAN,reviewed,Pre-mRNA-splicing regulator WTAP (Female-lethal(2)D homolog) (hFL(2)D) (WT1-associated protein) (Wilms tumor 1-associating protein),WTAP KIAA0105,Homo sapiens (Human),396
NP_056039,Q9UK61,F208A_HUMAN,reviewed,Protein FAM208A (CTCL tumor antigen se89-1) (Retinoblastoma-associated protein RAP140),FAM208A C3orf63 KIAA1105,Homo sapiens (Human),1670
NP_003893,Q96AE4,FUBP1_HUMAN,reviewed,Far upstream element-binding protein 1 (FBP) (FUSE-binding protein 1) (DNA helicase V) (hDH V),FUBP1,Homo sapiens (Human),644
NP_919223,P51991,ROA3_HUMAN,reviewed,Heterogeneous nuclear ribonucleoprotein A3 (hnRNP A3),HNRNPA3 HNRPA3,Homo sapiens (Human),378
NP_055456,A1Z5I9,A1Z5I9_HUMAN,unreviewed,Mediator of DNA damage checkpoint 1 variant 1 (Fragment),MDC1,Homo sapiens (Human),19
NP_055456,Q14676,MDC1_HUMAN,reviewed,Mediator of DNA damage checkpoint protein 1 (Nuclear factor with BRCT domains 1),MDC1 KIAA0170 NFBD1,Homo sapiens (Human),2089
NP_859052,Q6ZRP7,QSOX2_HUMAN,reviewed,Sulfhydryl oxidase 2 (EC 1.8.3.2) (Neuroblastoma-derived sulfhydryl oxidase) (Quiescin Q6-like protein 1),QSOX2 QSCN6L1 SOXN,Homo sapiens (Human),698
NP_057191,Q05D65,Q05D65_HUMAN,unreviewed,ZFR protein (Zinc finger RNA-binding protein),ZFR,Homo sapiens (Human),189
NP_057191,Q96KR1,ZFR_HUMAN,reviewed,Zinc finger RNA-binding protein (hZFR) (M-phase phosphoprotein homolog),ZFR,Homo sapiens (Human),1074
NP_065804,Q8WXE0,CSKI2_HUMAN,reviewed,Caskin-2 (CASK-interacting protein 2),CASKIN2 KIAA1139,Homo sapiens (Human),1202
NP_005376,P30414,NKTR_HUMAN,reviewed,NK-tumor recognition protein (NK-TR protein) (Natural-killer cells cyclophilin-related protein) [Includes: Putative peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8) (Rotamase)],NKTR,Homo sapiens (Human),1462
NP_056450,B4DGD8,B4DGD8_HUMAN,unreviewed,"GTPase-activating protein and VPS9 domain-containing protein 1 (cDNA FLJ52111, highly similar to Homo sapiens GTPase activating protein and VPS9 domains 1 (GAPVD1), mRNA)",GAPVD1,Homo sapiens (Human),756
NP_056450,Q14C86,GAPD1_HUMAN,reviewed,GTPase-activating protein and VPS9 domain-containing protein 1 (GAPex-5) (Rab5-activating protein 6),GAPVD1 GAPEX5 KIAA1521 RAP6,Homo sapiens (Human),1478
NP_060228,Q6P6C2,ALKB5_HUMAN,reviewed,RNA demethylase ALKBH5 (EC 1.14.11.-) (Alkylated DNA repair protein alkB homolog 5) (Alpha-ketoglutarate-dependent dioxygenase alkB homolog 5),ALKBH5 ABH5 OFOXD1,Homo sapiens (Human),394
NP_006331,Q9UQB8,BAIP2_HUMAN,reviewed,Brain-specific angiogenesis inhibitor 1-associated protein 2 (BAI-associated protein 2) (BAI1-associated protein 2) (Protein BAP2) (Fas ligand-associated factor 3) (FLAF3) (Insulin receptor substrate p53/p58) (IRS-58) (IRSp53/58) (Insulin receptor substrate protein of 53 kDa) (IRSp53) (Insulin receptor substrate p53),BAIAP2,Homo sapiens (Human),552
NP_004385,P51397,DAP1_HUMAN,reviewed,Death-associated protein 1 (DAP-1),DAP DAP1,Homo sapiens (Human),102
